label_7network,VIS_Ex1,VIS_Ex3,VIS_Ex4,VIS_Ex5,VIS_Ex6,VIS_Ex8,VIS_In1,VIS_In2,VIS_In3,VIS_In4,VIS_PVALB,VIS_SST,VIS_End,VIS_Per,VIS_Ast,VIS_Oli,VIS_OPC,VIS_Mic
7Networks_LH_SomMot_2,0.0193802936885396,0.1976138534037447,0.1856291709698842,0.0205571090850783,0.0043732011269364,0.0800642827749737,0.0083846073982373,0.0156496368434601,0.021087128824936,0.0411268893664823,0.0912144440664377,0.0275121241588984,0.0512223558978013,0.0172267748440731,0.0566800571776342,0.410947786453944,0.013687833756468,0.0190254065526248
7Networks_LH_SomMot_3,0.2902263916645176,0.303442232655797,0.0706388278964873,0.0,0.0550230721743128,0.0532531314794606,0.034864647168106,0.0314180299975138,0.0,0.027399621795938,0.130605654814043,0.0139521185407565,0.0762331638726308,0.000996481782134087,0.0251678867647285,0.1322058939592575,0.0129911318705119,0.0080478847673686
7Networks_LH_SomMot_4,0.2390506084650458,0.0896548219598715,0.1270225378423159,0.222273167715329,0.1207982338682031,0.2150488670472612,0.0291091257226522,0.0194947737428607,0.0089321493126822,0.0052140675190775,0.0,0.0190726751158185,0.0067699550207545,0.0022142961158856,0.0047291369839886,0.0515870614309276,0.0024135380398583,0.0011355958901211
7Networks_LH_SomMot_5,0.369832849558717,0.208692048987786,0.315179374417215,0.0,0.0,0.0675248737686632,0.0494847403323402,0.0123721856720184,0.0,0.0246550643102973,0.0922114711477351,0.0207614374266908,0.017466698684547,0.0,0.0,0.0,0.0,0.0
7Networks_LH_SomMot_6,0.1148117738683418,0.087097229433193,0.2077853571634388,0.0435495916122906,0.0507737793352213,0.0340220240670236,0.0,0.0371077916203694,0.033084239322583,0.0541306717027308,0.0624591004556212,0.0273180846744567,0.0205129063275081,0.0063594658607515,0.0639243867814547,0.3316429882811409,0.0189216441604712,0.0344869468008255
7Networks_LH_SomMot_7,0.0,0.0,0.0310410214879418,0.0,0.225120012139419,0.0,0.0,0.0745583959721346,0.1404383890643795,0.0292825571257268,0.0,0.0,0.113620501799502,0.0126747763645222,0.1706470992018769,0.775203733103258,0.0117820586870803,0.0
7Networks_LH_SomMot_8,0.179503651521609,0.16908503278917,0.0157894157858076,0.0,0.052547901706835,0.0,0.0263425591961557,0.020870278860012,0.0869822689063745,0.0116669330122682,0.0228792149054806,0.0,0.0298790039196419,0.0078127389735002,0.0,0.572069161499543,0.0239444725251385,0.0375668914323161
7Networks_LH_SomMot_9,0.029138869870508,0.1815707743550563,0.0624786834239204,0.1561420477987607,0.106313265928393,0.1362596241111854,0.0167101990009882,0.0068345342855887,0.0099629916926923,0.0476227099133603,0.0390172236787985,0.0143433584053388,0.0102439935759347,0.0164416691191135,0.0482796352496895,0.2507088770668041,0.0189602297749635,0.033024686924116
7Networks_LH_SomMot_10,0.10115706225813227,0.28288826060855077,0.21040386527248717,0.05847706873253203,0.03951626309480358,0.046927446596023735,0.03204407164680121,0.033110081204416233,0.03762907077111432,0.027855189470913314,0.07933233338226241,0.014680508768138568,0.05909252364970077,0.014201402814847,0.0396805496484027,0.3177611928762782,0.00883416053982997,0.012312753496579341
7Networks_LH_SomMot_11,0.06917372155188892,0.28831312928438285,0.2368406741297247,0.1501224592300949,0.04242155523350111,0.06781830754955202,0.02683839068515293,0.026783651610152472,0.019798374040995995,0.02112730752304421,0.07386110358731666,0.017158761022429136,0.03557988546565192,0.009822862235733372,0.018124061008508774,0.2540560725422142,0.008320548257290082,0.017870121247402164
7Networks_LH_SomMot_12,0.0314076160204252,0.3206110952831673,0.0,0.1710229547658344,0.0641196582173823,0.0501764656547263,0.0089682719960647,0.0,0.0319296752313776,0.0226263726214031,0.091084561667288,0.0269112077672803,0.1078457291490783,0.0508900035536149,0.1317714560766253,0.077736027308658,0.0155895718080485,0.0106453281332841
