label_7network,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
7Networks_RH_Cont_Par_4,0.0060918603262496,0.0505357227677142,0.0479515470764205,0.0457768336052988,0.0349616414134017,0.0345633625600752,0.0121878654744452,0.0,0.0354075201395586,0.0255927765131303,0.0064980847991539,0.0069342031313641,0.0160843767049285,0.0142056029099505,0.059763124742248,0.3874723904480009,0.0,0.0,0.1392988060895251,0.022433583628372,0.0412407474416301,0.0,0.0127251940328117,0.000274756195720225
7Networks_RH_Cont_Par_5,0.0669749522338822,0.0197490315440889,0.2197140149774184,0.0,0.0,0.0794227178825792,0.0326343429811175,0.0234798780002859,0.0,0.0887273216080782,0.0036598771174472,0.0114926029196581,0.0314775659558814,0.0,0.047520646784165,0.0276847090500948,0.0079035520462655,0.1128584499002062,0.0,0.1511843899887462,0.0,0.0717566610186379,0.0,0.0037592859914467
7Networks_RH_Cont_Par_6,0.0501071899220259,0.0053523203755225,0.067121542281263,0.0356270635969855,0.0068954573074817,0.1674752756800067,0.0559492495890123,0.0086539087020836,0.0323675244656888,0.0,0.0083823159287875,0.0011370258945601,0.0140126120800687,0.0,0.066781862125407,0.0762703268338021,0.0,0.039807456687619,0.0531442940876379,0.2410366259738672,0.035171337336437,0.0270852370479679,0.0024318756326142,0.0051894984511605
7Networks_RH_Cont_Temp_1,0.0293884587516622,0.0569007055002907,0.0985925090119289,0.0279451049507106,0.0068530936043305,0.0525500664297895,0.0220994218674063,0.0042116401710259,0.0221663993800147,0.059753291065495,0.0032584554236247,0.0031256562079977,0.0286719311377992,0.052425273666914,0.0629103672580525,0.1240985726446874,0.042527870615938,0.0519441614553635,0.0,0.1587814703873798,0.0322908698764484,0.0,0.0529831029017759,0.0065215776913635
7Networks_RH_Cont_Temp_2,0.0139958908204366,0.0338532481774081,0.0204572989680637,0.0265581743538854,0.0253301091159238,0.0097628945144312,0.0562398784418401,0.0,0.0580503921348391,0.049306182436107,0.0093038795572699,0.0044244797497301,0.0217194099628892,0.022835410633625,0.0757223976823645,0.1687018110366473,0.0094159259689474,0.0310126728208442,0.0748454084925569,0.1938492096175655,0.0496860957644205,0.0173048296630935,0.0243016588996863,0.0033227411874237
7Networks_RH_Cont_PFCv_1,0.019655411275298025,0.045543012537843236,0.06479492926193732,0.037206596052306924,0.028018094955412902,0.05147591007891555,0.03127692600711341,0.04137844289630189,0.06763542086751889,0.03367010278338631,0.004774209837667484,0.0054582560843490485,0.01565499255406053,0.02231629471976275,0.07013104304796315,0.07803808182060083,0.02981399372415839,0.01420947849868337,0.10871151490568562,0.12918234997715886,0.030051591541661933,0.018614917057648322,0.03682134746565275,0.015567082048911508
7Networks_RH_Cont_PFCl_1,0.0087919944098256,0.0088950064790708,0.0818773269998973,0.085196760806028,0.0025052679501835,0.0167848308109278,0.0181101951152657,0.0609589457354987,0.060552098194495,0.0805078374450281,0.0039130261225915,0.0054406692703751,0.0182755760175476,0.029318053578475,0.0588790369789102,0.2036029979237649,0.0096710916265172,0.00097504052695006,0.0064697837497068,0.1414255018947467,0.0250915102206086,0.0,0.0601109930086408,0.0126464551349441
7Networks_RH_Cont_PFCl_2,0.0950022025887574,0.0595377458646619,0.0319781113229042,0.0,0.0,0.0,0.036493305407189,0.0,0.0968465741646065,0.0115289394293461,0.0,0.0082702134652516,0.0166229951017163,0.0463150366117925,0.0083694035394265,0.2459179261760622,0.0,0.0050791132209614,0.0,0.1351071179103843,0.0167312781180938,0.0482860803511249,0.1351478430236762,0.0027661137040444
7Networks_RH_Cont_PFCl_3,0.0096673305895242,0.0590452454875858,0.0657249956134443,0.0420288352052045,0.0248508158339571,0.0,0.0206175293747765,0.0107017133732512,0.0161830100239927,0.0365106891168873,0.0085916780039781,0.0042762666806522,0.0122933568200722,0.0085160297172761,0.0650378737605595,0.2751702230141047,0.0126712869132578,0.099642481508398,0.0120779791384283,0.0958797243661735,0.0057125892942571,0.05124424060666,0.0591630665717918,0.0043930389857658
7Networks_RH_Cont_PFCl_4,0.0166381221751358,0.0,0.0676388761855151,0.0384567173254272,0.0493339953817925,0.0,0.0189805316054838,0.0426145355124822,0.0,0.0316755129043337,0.007466240962107,0.0229272352544415,0.0148190113118686,0.0,0.0268438526309809,0.216962752281299,0.0,0.2007275948603704,0.0315958571554069,0.1550667116638737,0.0106570425374597,0.046744721522212,0.000850688729809075,0.0
7Networks_RH_Cont_PFCl_5,0.0771366717920022,0.0166656692311649,0.1556980547240494,0.0307934591058693,0.0263032351501467,0.0125057093211149,0.0257036089066433,0.0,0.0281165188723058,0.0018691652109947,0.0064337922554833,0.0316387657626729,6.29364840782e-06,0.0,0.0,0.2094958315663659,0.0095566561583984,0.0781648525120301,0.0,0.0994979677113189,0.0274068886064851,0.0963006866227957,0.0655143875908965,0.0011917852508535
7Networks_RH_Cont_PFCl_6,0.0653047873604525,0.0788146243189096,0.1438632301668686,0.0125621935463973,0.0,0.0739820011717275,0.0064398344776163,0.0,0.059791735572775,0.0,0.0078951250370154,0.0312778475996297,0.0,0.0,0.0,0.1242423244841975,0.0021658394645572,0.0,0.3077501428685584,0.0,0.0632407800115669,0.0195118453071187,0.0,0.0031576886126087
7Networks_RH_Cont_PFCl_7,0.03277394624196979,0.034983207235939805,0.09554742121152554,0.02251444048176456,0.020635792445747522,0.06619784281094587,0.03447520548336047,0.034949553418906376,0.060674089938364054,0.019948368421574943,0.005074174047164142,0.0108373363940511,0.005939448530974993,0.004251310874627531,0.07298845530964262,0.11978503349016026,0.010268045448719511,0.0705083594554498,0.05537038149153778,0.13454810008282453,0.0,0.051522027902551185,0.02898993983633138,0.007449688923752075
7Networks_RH_Cont_PFCl_8,0.0612255530550311,0.0145479129967561,0.0618304600735032,0.0567164320255874,0.0051483242167691,0.0,0.059754739898008,0.0552309776035782,0.0059979853256485,0.0809991033109815,0.0039628849126599,0.0,0.015769257417363,0.0478349917315536,0.0130860768159887,0.198921123845303,0.0465691565703305,0.1410870771380161,0.0,0.0292037715246954,0.0,0.0456899644653144,0.0492343237823882,0.0071898832905233
7Networks_RH_Cont_PFCl_9,0.0372383740366576,0.0337204459031571,0.0,0.0,0.0,0.0974777366356521,0.0264895385966487,0.0,0.092015239043406,0.0481522842158698,0.0054947432820863,0.0052187786818925,0.0,0.0,0.0391667770766882,0.0,0.0,0.1103763815185714,0.0,0.3646527477739449,0.0,0.1291898628797166,0.0108070903557084,0.0
7Networks_RH_Cont_PFCl_10,0.03765953176844669,0.03294700681741153,0.10006124606229722,0.01933353129304687,0.022496187474191916,0.10312873280909457,0.02881227402844426,0.04190459945720214,0.045139151906299343,0.007854864581406669,0.004895183938895911,0.014676432592206062,0.005425432454893768,0.0009674135161483605,0.059112840053087895,0.12394900071239502,0.009006116600335222,0.06300662842584737,0.06557025199666332,0.11874157370209941,0.007873168836146402,0.0560333059186922,0.023846342400070542,0.007559182654676299
7Networks_RH_Cont_PFCl_11,0.0,0.0,0.0,0.1244124862048438,0.0,0.3775539044179948,0.0,0.1526688346595747,0.0,0.0,0.0,0.0,0.0,0.0536632734733415,0.2659165916494144,0.0,0.0,0.0257849095948306,0.0,0.0,0.0,0.0,0.0,0.0
7Networks_RH_Cont_PFCl_12,0.0137980617944615,0.0081550364803409,0.0951396106988312,0.0,0.0107438136522277,0.0415002224328402,0.0147966108529903,0.0257584896437469,0.0,0.0,0.0012030247915611,0.0251434351337197,0.0207450638007649,0.0,0.0307083102069742,0.0,0.0157747120034477,0.0376347421858544,0.0,0.5216005471529994,0.0,0.1123667928503726,0.0064789919217237,0.018452534397143
7Networks_RH_Cont_PFCl_13,0.017840034782188,0.0,0.2079850567920806,0.0,0.0333248963776685,0.2654690231214335,0.0,0.1189664842084132,0.0361172357995253,0.0,0.0114293544369347,0.0065355673046441,0.0129124692826234,0.0,0.0156261702026936,0.0,0.0188591136466018,0.0221498026464397,0.0,0.1655584794639527,0.0,0.0016117372858495,0.0247182820474555,0.0408962926014954
7Networks_RH_Cont_PFCl_14,0.0,0.0516478283514566,0.056500408032118,0.027584055061598,0.0902408236876041,0.1147682280425468,0.0104568874128395,0.0,0.0292039069789461,0.0452873455261952,0.0026327497724892,0.0067114810401281,0.003718288752966,0.0012004401773711,0.01758212059207,0.142089165174482,0.0,0.0853224450984837,0.0941470904790993,0.1429491098495266,0.0310820716461566,0.0336403891344141,0.0066376238836758,0.0065975413058322
7Networks_RH_Cont_PFCl_15,0.025230580432252146,0.04122189941284092,0.09317041794803535,0.018484643948496325,0.019299005327017903,0.1517138241266338,0.02645326709425816,0.060826817875037825,0.03395230374601193,0.03239017507006595,0.004092286114775245,0.010632583438969884,0.011298028566392535,0.010572935606189644,0.06704886363359588,0.0794365946143323,0.016881170468037845,0.0,0.11664369745617267,0.10585163463707829,0.023616068400089736,0.028552536281969593,0.013610616879889598,0.01100807558567032
7Networks_RH_Cont_pCun_1,0.0329971817922488,0.0,0.101456708757321,0.035692915575882,0.0,0.0,0.0361775826311136,0.0,0.0416900571377821,0.0059447613349472,0.0060674855256834,0.0136292786548692,0.0073162741160072,0.0160597213190026,0.0,0.5224133895235175,0.0,0.0,0.0,0.0391396764167528,0.07000153424444,0.0324715186505179,0.038941914319914,0.0
7Networks_RH_Cont_pCun_2,0.0,0.1162270095578439,0.0,0.0,0.0086183404132693,0.0,0.0884664314239138,0.0,0.0747988277577162,0.0478127358171339,0.0,0.0,0.0,0.0,0.1020901443700081,0.0429589693603142,0.0358703516389699,0.107461554548918,0.0302580841027162,0.2340943376069111,0.0,0.0916036540402021,0.0,0.0197395593620829
7Networks_RH_Cont_Cing_1,0.034343969172100496,0.017970177221475307,0.08374565284796072,0.02227615510178624,0.016264597680674734,0.09683284845648801,0.025572928105281258,0.04858999912797844,0.02905385488932411,0.04598652384187597,0.004497234988008484,0.012010644764349286,0.009977446201065047,0.011770991545872175,0.03131170299192183,0.1296320753310653,0.011119751492164088,0.1491256656041341,0.07163413736539934,0.0638251242976192,0.020914910833104688,0.03929029433997549,0.020625363461126124,0.0036279503392485277
7Networks_RH_Cont_Cing_2,0.0316081202850947,0.0532427191027096,0.0460410849286814,0.0488807285609583,0.011748403672593,0.2303591242876341,0.0182909381357522,0.056955719567156,0.0432132981413662,0.0604400732251753,0.0011460802707969,0.0036737248037885,0.0376638460042495,0.0355744586949226,0.0355311209064777,0.0,0.0133513258780515,0.0134834161086222,0.0429025263778772,0.1132906666403986,0.0443141473766391,0.0204277775566395,0.0249281185300109,0.0129325809444039
